"","id","catholic","race_white","race_black","race_hispanic","race_asian","places_lived","m_age","f_age","f_ed","m_ed","m_prestige","f_prestige","fam_income","poverty","fstamp","math_score"
"1","0001002C",0,1,0,0,0,1,47,45,0,0,53.5,77.5,62500.5,0,0,60.043
"2","0001004C",0,1,0,0,0,1,41,48,0,0,34.95,53.5,45000.5,0,0,56.28
"3","0001005C",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.791
"4","0001010C",0,1,0,0,0,1,43,55,0,0,63.43,53.5,62500.5,0,0,55.272
"5","0001011C",1,1,0,0,0,1,38,39,0,0,53.5,53.5,87500.5,0,0,64.604
"6","0001012C",0,1,0,0,0,1,47,57,0,0,61.56,77.5,150000.5,0,0,75.721
"7","0002003C",0,1,0,0,0,1,30,31,0,0,NA,35.78,7500.5,1,0,56.868
"8","0002004C",0,1,0,0,0,1,41,41,0,0,38.18,53.5,62500.5,0,0,54.248
"9","0002005C",0,0,0,1,0,1,38,46,1,1,NA,NA,7500.5,1,1,45.572
"10","0002006C",0,1,0,0,0,1,28,30,1,1,NA,29.6,17500.5,1,1,50.804
"11","0002008C",0,1,0,0,0,1,31,32,1,1,34.95,29.6,32500.5,0,0,40.064
"12","0002010C",0,1,0,0,0,1,38,41,0,0,63.43,33.42,37500.5,0,0,46.097
"13","0002011C",0,1,0,0,0,1,26,28,1,1,35.78,29.6,45000.5,0,1,53.336
"14","0002012C",0,0,0,0,0,2,36,NA,NA,0,59,NA,22500.5,0,0,48.202
"15","0002018C",0,1,0,0,0,1,38,40,1,0,34.95,34.95,62500.5,0,0,57.767
"16","0002019C",0,1,0,0,0,1,36,NA,NA,0,NA,NA,5000,1,1,60.294
"17","0002022C",0,1,0,0,0,1,27,30,1,1,38.18,38.18,62500.5,0,0,57.237
"18","0002024C",0,1,0,0,0,1,40,43,1,1,38.18,53.5,62500.5,0,0,45.384
"19","0005004C",0,0,0,1,0,1,27,31,1,1,NA,29.6,12500.5,1,1,47.284
"20","0005006C",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.494
"21","0005009C",0,1,0,0,0,1,33,30,1,0,34.95,35.92,17500.5,1,1,50.257
"22","0005011C",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.933
"23","0005013C",0,0,0,0,0,1,36,48,1,1,33.42,33.42,17500.5,1,1,44.564
"24","0005016C",0,1,0,0,0,2,46,50,1,0,NA,29.6,12500.5,1,1,40.922
"25","0005020C",0,0,0,0,0,1,34,NA,NA,1,38.18,NA,22500.5,1,1,29.047
"26","0005021C",0,0,1,0,0,1,35,NA,NA,1,NA,NA,12500.5,1,1,20.41
"27","0005025C",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.928
"28","0006001C",0,0,0,0,1,1,42,54,1,1,35.78,34.95,22500.5,1,0,56.236
"29","0006002C",0,0,0,0,1,1,42,45,1,0,29.6,34.95,12500.5,1,0,41.063
"30","0006003C",0,1,0,0,0,1,39,39,0,0,53.5,53.5,87500.5,0,0,54.404
"31","0006005C",0,1,0,0,0,1,37,38,0,0,34.95,53.5,62500.5,0,0,70.107
"32","0006007C",0,1,0,0,0,1,37,36,1,0,53.5,39.2,45000.5,0,0,57.567
"33","0006010C",0,1,0,0,0,2,NA,33,1,NA,NA,35.92,17500.5,0,0,48.924
"34","0006011C",0,1,0,0,0,1,28,32,1,1,29.6,35.78,27500.5,0,0,47.199
"35","0006012C",0,1,0,0,0,2,30,NA,NA,0,38.18,NA,32500.5,0,1,48.964
"36","0006014C",0,1,0,0,0,1,NA,41,1,NA,NA,NA,7500.5,1,1,32.045
"37","0006015C",0,1,0,0,0,4,30,NA,NA,1,NA,NA,7500.5,1,0,55.45
"38","0006017C",0,1,0,0,0,1,34,39,1,1,38.18,53.5,37500.5,0,0,65.741
"39","0006022C",0,1,0,0,0,1,26,NA,NA,1,35.78,NA,12500.5,1,1,53.687
"40","0007002C",1,1,0,0,0,2,39,NA,NA,0,53.5,NA,62500.5,0,0,52.035
"41","0007004C",1,1,0,0,0,2,41,45,0,0,57.83,35.78,150000.5,0,0,64.935
"42","0007006C",1,1,0,0,0,1,35,37,0,0,53.5,63.43,87500.5,0,0,45.63
"43","0007008C",1,1,0,0,0,1,41,40,0,0,NA,53.5,150000.5,0,0,48.521
"44","0007009C",1,1,0,0,0,1,37,46,1,1,35.78,35.78,150000.5,0,0,41.637
"45","0007010C",1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.609
"46","0007013C",1,1,0,0,0,1,42,45,0,0,NA,77.5,87500.5,0,0,67.783
"47","0007015C",1,1,0,0,0,1,27,30,1,1,NA,35.92,62500.5,0,0,53.501
"48","0007016C",1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.363
"49","0007017C",1,1,0,0,0,1,41,47,0,0,NA,77.5,150000.5,0,0,61.241
"50","0007018C",1,1,0,0,0,1,40,39,0,0,61.56,62.87,150000.5,0,0,57.185
"51","0007020C",1,1,0,0,0,1,35,52,0,0,61.56,72.1,62500.5,0,0,64.364
"52","0007022C",1,1,0,0,0,NA,38,48,0,0,52.54,53.5,62500.5,0,0,59.207
"53","0007023C",1,1,0,0,0,1,34,39,1,0,NA,53.5,62500.5,0,0,60.025
"54","0009001C",0,1,0,0,0,1,29,NA,NA,1,38.18,NA,7500.5,1,1,41.985
"55","0009002C",0,1,0,0,0,NA,36,43,1,1,34.95,NA,12500.5,1,NA,43.598
"56","0009003C",0,1,0,0,0,1,37,49,1,0,63.43,35.92,87500.5,0,0,44.731
"57","0009005C",0,1,0,0,0,1,38,38,1,1,33.42,39.2,17500.5,1,1,49.884
"58","0009007C",0,1,0,0,0,1,31,34,1,1,NA,35.92,17500.5,0,0,34.44
"59","0009008C",0,1,0,0,0,1,36,39,1,1,33.42,39.2,62500.5,0,0,42.962
"60","0009009C",0,1,0,0,0,1,31,30,0,1,38.18,38.18,32500.5,0,0,52.571
"61","0009010C",0,1,0,0,0,1,35,41,1,1,33.42,34.95,87500.5,0,0,55.383
"62","0009012C",0,1,0,0,0,1,32,NA,1,0,35.78,53.5,45000.5,0,0,44.193
"63","0009013C",0,1,0,0,0,1,35,40,1,0,53.5,33.42,150000.5,0,0,60.096
"64","0009014C",0,1,0,0,0,1,34,45,1,1,53.5,39.18,87500.5,0,0,48.597
"65","0009017C",0,1,0,0,0,1,40,NA,NA,1,29.6,NA,17500.5,0,1,52.825
"66","0009018C",0,1,0,0,0,1,43,41,1,1,34.95,39.18,45000.5,0,0,35.802
"67","0009019C",0,1,0,0,0,1,47,48,1,0,35.78,NA,32500.5,0,0,27.545
"68","0009020C",0,1,0,0,0,1,30,29,1,1,34.95,29.6,32500.5,0,0,33.829
"69","0009022C",0,1,0,0,0,1,38,36,0,0,63.43,63.43,62500.5,0,0,66.911
"70","0009024C",0,1,0,0,0,1,34,37,1,1,35.78,39.2,62500.5,0,0,56.95
"71","0009026C",0,1,0,0,0,1,37,49,1,0,63.43,35.92,87500.5,0,0,43.744
"72","0010001C",0,1,0,0,0,1,34,31,1,1,NA,33.42,45000.5,0,0,39.482
"73","0010002C",0,1,0,0,0,1,28,NA,NA,0,61.56,NA,17500.5,0,0,56.505
"74","0010003C",0,1,0,0,0,1,35,39,1,0,34.95,35.92,12500.5,1,1,54.888
"75","0010004C",0,1,0,0,0,1,NA,48,1,NA,NA,34.95,5000,1,1,53.847
"76","0010006C",0,1,0,0,0,1,37,37,1,1,34.95,38.18,27500.5,0,0,45.098
"77","0010007C",0,1,0,0,0,1,33,37,1,1,NA,35.78,32500.5,0,0,45.357
"78","0010008C",0,1,0,0,0,2,29,33,1,1,34.95,29.6,22500.5,0,0,27.493
"79","0010009C",0,1,0,0,0,2,39,NA,NA,1,34.95,NA,7500.5,1,1,52.302
"80","0010010C",0,1,0,0,0,1,29,NA,NA,1,NA,NA,7500.5,1,1,40.73
"81","0010011C",0,1,0,0,0,1,30,31,1,1,34.95,39.18,5000,1,0,47.341
"82","0010012C",0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.467
"83","0010015C",0,1,0,0,0,1,39,44,1,1,33.42,34.95,87500.5,0,0,48.33
"84","0010016C",0,1,0,0,0,1,32,39,1,1,34.95,53.5,45000.5,0,0,41.401
"85","0010018C",0,1,0,0,0,1,48,48,0,0,61.56,59,150000.5,0,0,63.365
"86","0010019C",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.269
"87","0010020C",0,1,0,0,0,1,29,30,1,1,38.18,35.92,22500.5,0,0,37.569
"88","0010022C",0,0,0,0,0,1,44,NA,NA,0,NA,NA,17500.5,1,0,47.232
"89","0010024C",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.323
"90","0011002C",0,1,0,0,0,1,34,38,1,0,34.95,33.42,62500.5,0,0,54.204
"91","0011003C",0,1,0,0,0,2,35,43,1,1,34.95,35.78,87500.5,0,0,61.28
"92","0011004C",0,1,0,0,0,1,43,49,0,0,59,35.63,150000.5,0,0,60.838
"93","0011006C",0,1,0,0,0,1,39,36,1,0,NA,39.2,22500.5,0,0,50.8
"94","0011007C",0,1,0,0,0,1,40,43,1,1,34.95,33.42,87500.5,0,0,55.124
"95","0011008C",0,1,0,0,0,NA,29,40,1,1,38.18,53.5,32500.5,0,0,48.19
"96","0011009C",0,1,0,0,0,1,34,39,1,1,34.95,39.2,62500.5,0,0,44.839
"97","0011010C",0,1,0,0,0,1,34,40,1,0,38.18,39.2,45000.5,0,0,44.921
"98","0011011C",0,1,0,0,0,1,37,39,1,0,53.5,39.18,62500.5,0,0,50.489
"99","0011012C",0,1,0,0,0,1,NA,45,1,NA,NA,35.92,27500.5,0,0,48.394
"100","0011013C",0,1,0,0,0,1,46,47,1,1,34.95,38.18,45000.5,0,0,68.39
"101","0011014C",0,1,0,0,0,1,34,37,0,1,57.83,39.2,45000.5,0,0,49.496
"102","0011017C",0,1,0,0,0,1,38,39,0,0,34.95,39.18,45000.5,0,0,59.002
"103","0011018C",0,1,0,0,0,1,30,34,1,1,35.78,NA,17500.5,1,0,46.051
"104","0011019C",0,1,0,0,0,1,39,37,0,0,35.78,53.5,62500.5,0,0,49.446
"105","0011020C",0,0,0,1,0,NA,35,NA,NA,1,34.95,NA,87500.5,0,0,58.752
"106","0011021C",0,1,0,0,0,1,40,42,1,1,53.5,53.5,150000.5,0,0,42.981
"107","0011022C",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.001
"108","0011023C",0,1,0,0,0,1,32,37,1,0,38.18,63.43,62500.5,0,0,49.277
"109","0011024C",0,1,0,0,0,1,35,35,0,0,38.18,35.78,150000.5,0,0,64.616
"110","0013007C",0,1,0,0,0,1,45,46,0,0,63.43,63.43,150000.5,0,0,52.723
"111","0013009C",0,1,0,0,0,1,51,47,0,0,63.43,62.87,62500.5,0,0,51.895
"112","0014001C",0,1,0,0,0,1,35,37,0,0,35.92,34.95,45000.5,0,0,58.477
