resp,race
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
0,black
1,black
1,black
1,black
1,black
1,black
1,black
1,black
1,black
1,black
1,black
1,black
1,black
1,black
1,black
1,black
1,black
2,black
2,black
2,black
2,black
2,black
2,black
2,black
2,black
2,black
2,black
2,black
2,black
3,black
3,black
3,black
3,black
3,black
3,black
3,black
4,black
4,black
4,black
5,black
5,black
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
0,white
