"","mission","temp","damaged","time"
"1",1,53,1,1
"2",1,53,1,1
"3",1,53,1,1
"4",1,53,1,1
"5",1,53,1,1
"6",1,53,0,1
"7",2,57,1,1
"8",2,57,0,1
"9",2,57,0,1
"10",2,57,0,1
"11",2,57,0,1
"12",2,57,0,1
"13",3,58,1,1
"14",3,58,0,1
"15",3,58,0,1
"16",3,58,0,1
"17",3,58,0,1
"18",3,58,0,1
"19",4,63,1,1
"20",4,63,0,1
"21",4,63,0,1
"22",4,63,0,1
"23",4,63,0,1
"24",4,63,0,1
"25",5,66,0,1
"26",5,66,0,1
"27",5,66,0,1
"28",5,66,0,1
"29",5,66,0,1
"30",5,66,0,1
"31",6,67,0,1
"32",6,67,0,1
"33",6,67,0,1
"34",6,67,0,1
"35",6,67,0,1
"36",6,67,0,1
"37",7,67,0,1
"38",7,67,0,1
"39",7,67,0,1
"40",7,67,0,1
"41",7,67,0,1
"42",7,67,0,1
"43",8,67,0,1
"44",8,67,0,1
"45",8,67,0,1
"46",8,67,0,1
"47",8,67,0,1
"48",8,67,0,1
"49",9,68,0,1
"50",9,68,0,1
"51",9,68,0,1
"52",9,68,0,1
"53",9,68,0,1
"54",9,68,0,1
"55",10,69,0,1
"56",10,69,0,1
"57",10,69,0,1
"58",10,69,0,1
"59",10,69,0,1
"60",10,69,0,1
"61",11,70,1,1
"62",11,70,0,1
"63",11,70,0,1
"64",11,70,0,1
"65",11,70,0,1
"66",11,70,0,1
"67",12,70,0,1
"68",12,70,0,1
"69",12,70,0,1
"70",12,70,0,1
"71",12,70,0,1
"72",12,70,0,1
"73",13,70,1,1
"74",13,70,0,1
"75",13,70,0,1
"76",13,70,0,1
"77",13,70,0,1
"78",13,70,0,1
"79",14,70,0,1
"80",14,70,0,1
"81",14,70,0,1
"82",14,70,0,1
"83",14,70,0,1
"84",14,70,0,1
"85",15,72,0,1
"86",15,72,0,1
"87",15,72,0,1
"88",15,72,0,1
"89",15,72,0,1
"90",15,72,0,1
"91",16,73,0,1
"92",16,73,0,1
"93",16,73,0,1
"94",16,73,0,1
"95",16,73,0,1
"96",16,73,0,1
"97",17,75,0,1
"98",17,75,0,1
"99",17,75,0,1
"100",17,75,0,1
"101",17,75,0,1
"102",17,75,0,1
"103",18,75,1,1
"104",18,75,0,1
"105",18,75,0,1
"106",18,75,0,1
"107",18,75,0,1
"108",18,75,0,1
"109",19,76,0,1
"110",19,76,0,1
"111",19,76,0,1
"112",19,76,0,1
"113",19,76,0,1
"114",19,76,0,1
"115",20,76,0,1
"116",20,76,0,1
"117",20,76,0,1
"118",20,76,0,1
"119",20,76,0,1
"120",20,76,0,1
"121",21,78,0,1
"122",21,78,0,1
"123",21,78,0,1
"124",21,78,0,1
"125",21,78,0,1
"126",21,78,0,1
"127",22,79,0,1
"128",22,79,0,1
"129",22,79,0,1
"130",22,79,0,1
"131",22,79,0,1
"132",22,79,0,1
"133",23,81,0,1
"134",23,81,0,1
"135",23,81,0,1
"136",23,81,0,1
"137",23,81,0,1
"138",23,81,0,1
